Character,Line
Leslie Knope,I once kissed a girl in college.
Tom Haverford,Eight.
Leslie Knope,Where I graduated summa cum laude in history.
Tom Haverford,One.
Tom Haverford,Zero.
Tom Haverford,Negative a billion.
Tom Haverford,"Don't talk about it anymore, please."
Ron Swanson,I love Food and Stuff.
Ron Swanson,It's where I buy all of my food.
Ron Swanson,And most of my stuff.
April Ludgate,"Hey, can I get these?"
Ron Swanson,How much are they?
April Ludgate,Two bucks apiece.
Ron Swanson,Good deal.
Extra,Anything else?
Ron Swanson,Nope.
Ron Swanson,Just the crows and the beef.
Leslie Knope,"So, the only thing that's important to you is hotness?"
Leslie Knope,Wendy?
Leslie Knope,Lucy?
Leslie Knope,All you cared about was the shape of their boobs?
Tom Haverford,"No, I really liked them, and they happened to have nice breasts."
Tom Haverford,You're acting really weird.
Tom Haverford,What did you even buy me lunch for?
Tom Haverford,Just so you could yell at me for what I like about women?
Leslie Knope,Okay.
Leslie Knope,Promise not to tell anyone?
Tom Haverford,Sure.
Leslie Knope,"This is insane, but you and I got matched up on hoosiermate.com"
Leslie Knope,98% match.
Leslie Knope,Soul matelevel match.
Tom Haverford,You wanna date me!
Tom Haverford,This is a date!
Leslie Knope,"This is not a date, okay?"
Tom Haverford,"You took me to a fancy restaurant, you paid for my meal, and you're trying to get to know me better."
Leslie Knope,I was just trying to figure out why only sleazy guys are into me right now.
Tom Haverford,Nice try.
Tom Haverford,You love me.
Tom Haverford,"Leslie Knope, Tom Haverford Dating in the day, dating in the night Dating all day 'cause he's keeping it tight"
Leslie Knope,"All right, Tom."
Leslie Knope,Enough.
Tom Haverford,"Dating in the car, dating on the floor Dating everywhere 'cause she wants some more What, yeah, oh, we're going to, yeah"
Leslie Knope,"Hey, Tom, I'm just printing out these health tips."
Leslie Knope,Can you grab them for me?
Tom Haverford,One second.
Tom Haverford,I'm just looking at some real estate listings.
Tom Haverford,"Oh, this is perfect for us."
Tom Haverford,"Threebedroom, and Oh, God, Les."
Tom Haverford,It has that dream closet you've always wanted.
Tom Haverford,A walkin closet.
Leslie Knope,"Oh, God."
Tom Haverford,"Hey, hey, boo."
Tom Haverford,What's wrong?
Tom Haverford,Where did you go?
Tom Haverford,Come back to me.
Leslie Knope,Stop it.
Tom Haverford,Don't disappear on me.
Tom Haverford,"I need you, boo."
Ben Wyatt,All right.
Ben Wyatt,Let's get into it.
Ben Wyatt,What do you guys have for health tips?
Tom Haverford,"Ben, if it's okay with you, Leslie and I are going to lead the meeting today, because of our deep spiritual connection."
Ben Wyatt,Okay.
Ben Wyatt,All right.
Ben Wyatt,"Is everything okay or Oh, yeah."
Ben Wyatt,Okay.
Tom Haverford,"Everything is great, Ben."
Tom Haverford,Les and I just had something magical happen today at lunch.
Donna Meagle,There is some weird juju in this room right now.
Leslie Knope,Office yoga.
Leslie Knope,We do stretches at our desk or next to our desk or in a chair.
Leslie Knope,Always good for you.
Leslie Knope,We give everyone pedometers and we have a contest.
Leslie Knope,Whoever takes the most steps wins a prize.
Leslie Knope,Anything to get their heart rate up.
Tom Haverford,You know what else gets people's heart rate up?
Tom Haverford,Doing it.
Tom Haverford,Talking about sex with my boss.
Leslie Knope,Can you excuse us for a second?
Ben Wyatt,Yeah.
Leslie Knope,Hey.
Leslie Knope,Can I talk to you for a second?
Tom Haverford,Let me get off the chair.
Leslie Knope,Hey What is wrong with you?
Tom Haverford,Leslie.
Tom Haverford,It's the workplace.
Tom Haverford,You're being a little bit too feisty right now.
Leslie Knope,You are being a little bit too much of an ass right now.
Leslie Knope,Okay?
Leslie Knope,Knock it off.
Tom Haverford,I can't fight this feeling anymore.
Tom Haverford,"You and I, we're dating."
Leslie Knope,You should be so lucky.
Chris Traeger,Leslie.
Leslie Knope,Huh?
Chris Traeger,Tom.
Leslie Knope,They should fix that.
Leslie Knope,It was all just a joke.
Leslie Knope,"I can assure you, there's nothing romantic going on between me and Tom."
Chris Traeger,I have a very strict policy.
Chris Traeger,"No office relationships, particularly between a supervisor and an employee."
Chris Traeger,The taxpayers pay us.
Chris Traeger,"So, we can't have anything appearing even remotely scandalous."
Chris Traeger,"I'm just saying, if you can't keep your mouth to yourself, I'm gonna have to suspend you."
Leslie Knope,I understand.
Chris Traeger,Look.
Chris Traeger,Cucumber flower.
Leslie Knope,"Wow, that's so cute."
Chris Traeger,"Wait, that's a garnish."
Chris Traeger,You're not supposed to eat that.
Leslie Knope,What?
Ben Wyatt,"So, just type up those ones we talked about, and we'll get it finalized tomorrow."
Jerry Gergich,Yep.
Ben Wyatt,"Hey, Tom."
Tom Haverford,Yeah.
Ben Wyatt,What was all that stuff with you and Leslie?
Tom Haverford,Girl likes Indian food.
Tom Haverford,What can I say?
Tom Haverford, Fine.
Tom Haverford, We got matched up on an online dating site.
Tom Haverford," And I was messing with her, she got pissed."
Tom Haverford," So, she took me out in the hallway and kissed me, out of revenge."
Ben Wyatt, Really?
Tom Haverford,"And as much as it pains me to admit this, it was not disgusting."
Ben Wyatt, Okay.
Ben Wyatt," Well, I don't need the details or anything."
Tom Haverford, I'm just saying.
Tom Haverford, She knows what to do.
Ben Wyatt, All right.
Tom Haverford," Like, I was impressed."
Ben Wyatt, Yeah.
Tom Haverford, It was stirring.
Ben Wyatt, Goodbye.
Tom Haverford, It felt like Yeah.
Tom Haverford, All right.
Tom Haverford," Just Anyway, like I was saying"
Chris Traeger," I humbly place before you my east-meets-west patented Traeger Turkey Burger, an Asian-fusion burger made with Willow Farms organic turkey, a toasted taleggio cheese crisp, papaya chutney, black truffle aioli, and microgreens on a gluten-free brioche bun."
Chris Traeger, Enjoy.
Donna Meagle, Mmm.
Tom Haverford, Mmm.
Tom Haverford, This tastes as delicious as Beyoncé smells.
Tom Haverford, I'm guessing.
Donna Meagle, What is this in here? Saffron?
Chris Traeger,Wow! Somebody's got a sharp palate.
Kyle, I love the umami flavor.
Jerry Gergich," Stop being so pretentious, Kyle."
Kyle, Sorry.
Ron Swanson, Here's mine.
Ron Swanson," It's a hamburger, made out of meat, on a bun, with nothing."
Ron Swanson, Add ketchup if you want.
Ron Swanson, I couldn't care less.
Chris Traeger," Ron, I am so disappointed."
Chris Traeger, I thought that you and I were gonna have a real challenge.
Tom Haverford, Never mind.
Tom Haverford, This is better.
Donna Meagle, Way better.
Jerry Gergich, Mmm.
Jerry Gergich, Yep.
Jerry Gergich, Mmm-hmm.
Andy Dwyer, Kyle?
Kyle,"Sorry, Andy."
Kyle, Ron's is better.
Andy Dwyer," Damn it, Kyle."
Andy Dwyer," Oh, my God."
Andy Dwyer," It's so much better, it's crazy."
Ron Swanson," Turkey can never beat cow, Chris."
Ron Swanson, Sorry.
Chris Traeger," Well, I don't understand."
Chris Traeger, I've tinkered with this recipe for years.
Chris Traeger," Granted, it's been a long time since I've had a hamburger."
Chris Traeger, This is better.
Chris Traeger," The commissary will continue to serve horrifying, artery-clogging hamburgers."
Andy Dwyer, Man.
Andy Dwyer," We spent, like, 50 hours working on those burgers."
April Ludgate, I know.
April Ludgate, Hard work never pays off.
Andy Dwyer, Cooking is dumb.
April Ludgate, I swear on this dead crow that I will never cook for you.
Andy Dwyer, I love you.
Chris Traeger, I just wanted to make sure that there were no hard feelings after I forced you to break up with Tom.
Leslie Knope," Oh, we weren't No."
Leslie Knope, No hard feelings.
Chris Traeger, 'Cause it's just a real bugaboo of mine.
Chris Traeger, And it applies to everyone.
Chris Traeger," Just the other day, Ben told me that he might want to socialize with somebody from the government and I said, ""I'm sorry."
Chris Traeger, Not possible.
Leslie Knope,""" Really? Did he say who?"
Chris Traeger,"No, and I didn't ask."
Chris Traeger, Because it's irrelevant.
Chris Traeger, He oversees every department.
Chris Traeger, It simply can't happen.
Chris Traeger, This is literally the best thing I've ever eaten.
Chris Traeger, Mmm.
Chris Traeger, And it's so bad for me.
Chris Traeger, I'm gonna have to jog while I digest this.
Chris Traeger, Excuse me.
Leslie Knope, Hey.
Leslie Knope, What's up? Hey.
Ben Wyatt," Well, I think I'm allergic to chutney."
Ben Wyatt," Also, what's chutney?"
Leslie Knope,No clue.
Ben Wyatt, Yeah.
Leslie Knope," Hey, I never got to tell you the rest of my ideas."
Leslie Knope, You wanna go somewhere and talk about them? Yeah.
Ben Wyatt," Yeah, I'd love to."
Ben Wyatt," Let me get some actual food, and then, do you know that wildflower mural up on the second floor? Mmm-hmm."
Ben Wyatt, Yeah? You wanna meet there?
Leslie Knope,Yeah.
Leslie Knope, Okay.
Leslie Knope, Sounds good.
Leslie Knope, I don't know if the online thing is for me.
Leslie Knope, I prefer to meet people in person.
Leslie Knope, It's like door number two on Let's Make a Deal.
Leslie Knope," Do you want the thing that you have, that you know you like, but isn't perfect, or do you give it up for what's behind door number two? I think I like what I have."
Leslie Knope, I'm gonna try to make it work with Tom.
Leslie Knope," I'm kidding! All right, be honest, Tom."
Leslie Knope, How did you and I get matched up?
Tom Haverford," I made 26 profiles, each designed to attract a different type of girl."
Tom Haverford, Tom A.
Tom Haverford, Haverford.
Tom Haverford, Sporty and sexy.
Tom Haverford, Tom B.
Tom Haverford," Haverford, smooth and soulful."
Tom Haverford, Which letter did you get? 
Leslie Knope," N, Tom N. Haverford."
Tom Haverford," The N stands for nerd! I never even check that one, 'cause no one ever responds to it."
Leslie Knope, Okay.
Leslie Knope," Well, whatever."
Tom Haverford, Tom N.
Tom Haverford, Haverford collects globes.
Leslie Knope, Great.
Leslie Knope, That's enough.
Tom Haverford, His favorite movie is books.
Leslie Knope," Donna? Every time I want you to shut up, from now on."
,   
,"
                "
,Season: 3 Episode: 11
Leslie Knope,"Good morning, Ben."
Leslie Knope,Sorry.
Ben Wyatt,Sorry.
Leslie Knope,Did I scare you?
Ben Wyatt,No.
Leslie Knope,I just wanted to remind you of the art show that's happening tonight at the community center.
Ben Wyatt,Yeah.
Ben Wyatt,Yeah.
Leslie Knope,It's gonna be a lot of fun.
Ben Wyatt,Great.
Ben Wyatt,"Well, that sounds cool."
Ben Wyatt,That sounds like something that will be a big success.
Ben Wyatt,You know?
Ben Wyatt,"I mean, like everything that you put your paws on."
Ben Wyatt,Your fingers.
Chris Traeger,Leslie Knope!
Chris Traeger,Ben Wyatt.
Chris Traeger,"Ben, great news."
Chris Traeger,Do you remember the woman I told you about from the county commissioner's office?
Ben Wyatt,Um Vaguely.
Chris Traeger,Sure you do.
Chris Traeger,Cindy Miller.
Chris Traeger,"Anyway, she's agreed to go out on a date with you."
Ben Wyatt,Oh.
Ben Wyatt,You asked her out for me?
Chris Traeger,You're going to love her.
Chris Traeger,"She is interesting, smart and beautiful."
Chris Traeger,Inside and out.
Chris Traeger,Inner beauty is very important.
Chris Traeger,And outer beauty is also very important.
Leslie Knope,I thought you had a rule about intergovernment relationships.
Chris Traeger,Don't worry.
Chris Traeger,Her department is completely separate from ours.
Chris Traeger,This isn't anything like your affair with Tom Haverford.
Leslie Knope,We weren't You You
Ben Wyatt," I'm sorry, who are you calling?"
Extra,Cindy Miller.
Chris Traeger,Cindy Miller.
Chris Traeger,Chris Traeger.
Chris Traeger,Guess who is standing in this room with me right now.
Chris Traeger,"Oh, uh Ben Wyatt."
Chris Traeger,"Ben, say hello."
Ben Wyatt,"Hi, Cindy."
Ben Wyatt,Sorry.
Extra,Hi.
Extra,No apology necessary.
Extra,It's just Chris being Chris.
Ben Wyatt,How are you doing?
Chris Traeger,Ooh!
Chris Traeger,Sparks are flying!
Chris Traeger,We may have to call the fire department.
Chris Traeger,It's a government joke.
Chris Traeger,I love setting people up.
Chris Traeger,Here's my secret.
Chris Traeger,"I determine someone's best qualities, and then, I find someone else with compatible qualities, and I bring them together."
Leslie Knope,"God, this sucks."
Ann Perkins,Why don't you just go home for the rest of the day?
Leslie Knope,"I can't go home, because I have this art show opening at the community center, and I can't stay here because I see Ben, and I can't date Ben because of Chris' stupid rules."
Leslie Knope,I feel so
Ann Perkins,Powerless.
Leslie Knope,Yeah.
Leslie Knope,I'm like that light bulb.
Leslie Knope,"Weak, flickering, barely giving off any light, unable to make out with the light bulb I want to make out with."
Ann Perkins,You know what might make you feel better?
Leslie Knope,A hug?
Ann Perkins,Paxil.
Ann Perkins,Do you want me to get you a prescription?
Ben Wyatt,"Hey, Tom!"
Ben Wyatt,A question for you.
Ben Wyatt,Do you know anyone who's looking for a roommate?
Tom Haverford,How hot?
Ben Wyatt,I What?
Tom Haverford,How hot is the woman that's looking for a place to stay?
Ben Wyatt,"No, it's me."
Ben Wyatt,I'm looking.
Tom Haverford,Come on.
Tom Haverford,That's not fair.
Tom Haverford,You shouldn't have led me to believe it was a beautiful woman.
Ben Wyatt,I didn't.
Ben Wyatt,I've been staying at the Pawnee Super Suites Motel for seven months.
Ben Wyatt,"It's a charming little inn with wonderfully random wakeup calls, delightfully unstable temperatures, and, as of yesterday, bedbugs."
Ben Wyatt,"""Four stars,"" says nobody."
Tom Haverford,"I wish I could help you, Benihana, but I can't."
Tom Haverford,I have a one bedroom.
Tom Haverford,I can't have a dude sleeping on my couch if and when I bring home a lady.
Tom Haverford,"I have a ritual, and it starts on the couch."
Tom Haverford,"We sit down, clap my hands, lights dim."
Ben Wyatt,Okay.
Ben Wyatt,I understand.
Tom Haverford,Boyz II Men.
Tom Haverford,Fades in.
Ben Wyatt,"Please, stop."
Ben Wyatt,No.
Ben Wyatt,"No, you don't need to explain the ritual."
Ben Wyatt,I'm good.
Tom Haverford,You know who might be able to help out a homeless dude such as yourself?
Andy Dwyer,This is awesomely perfect.
Andy Dwyer,"Burly just moved in with his rich girlfriend, and we need help with the rent."
April Ludgate,"We have a couple of house rules, though."
Ben Wyatt,"Yeah, sure."
Ben Wyatt,Of course.
April Ludgate,You can't use the front door.
April Ludgate,You have to climb in through the back window.
April Ludgate,No personal phone conversations.
April Ludgate,"If you ever speak to me in Spanish, please use the formal ""usted""."
April Ludgate,And no electricity after 6:00 p.m.
Andy Dwyer,She's joking.
Ben Wyatt,Okay.
Andy Dwyer,You can use as much free electricity as you want.
Andy Dwyer,It's free.
April Ludgate,Couple more rules.
April Ludgate,"If you ever watch a sad movie, you have to wear mascara so we can see whether or not you've been crying."
April Ludgate,"There's no noise allowed on Mondays, and no TV after breakfast."
Andy Dwyer,She is lying again.
Ben Wyatt,She is.
Andy Dwyer,Yes.
Ben Wyatt,Because it's hard to tell.
Andy Dwyer,No.
Andy Dwyer,"We leave the TV on all day long so burglars think that we're home when we're not, which was my idea that I'm trying to patent."
Andy Dwyer,"So, you want to move in tonight?"
Ben Wyatt,Yeah.
Ben Wyatt,Sure.
Ben Wyatt,That would be great.
April Ludgate,You want my gum?
Andy Dwyer,Uhhuh.
Leslie Knope,"Ron, can you make the opening remarks?"
Leslie Knope,I'm just I'm not in the mood.
Ron Swanson,Neither am I.
Ron Swanson,Ever.
Ron Swanson,What's wrong with you?
Ron Swanson,You live for this kind of stuff.
Leslie Knope,I don't have it in me right now.
Leslie Knope,"Ron, please."
Leslie Knope,Do it for me.
Leslie Knope,Make the speech.
Leslie Knope,"Ron, please."
Leslie Knope,Please.
Leslie Knope,"Give the speech, Ron."
Ron Swanson,No.
Leslie Knope,Yes.
Leslie Knope,Please?
Leslie Knope,Ron?
Leslie Knope,Please.
Ron Swanson,No.
Leslie Knope,Please give the speech.
Leslie Knope,Please give the speech.
Ron Swanson,No.
Ron Swanson,I won't.
Leslie Knope,Yes.
Leslie Knope,Yes.
Leslie Knope,Yes.
Leslie Knope,Yes.
Leslie Knope,Yes.
Leslie Knope,Yes.
Ron Swanson,No way.
Leslie Knope,"Please, please, please, please, please."
Ron Swanson,No.
Leslie Knope,"Please, please."
Leslie Knope,"Yes, yes"
Ron Swanson,All right!
Ron Swanson,"Damn it, woman."
Ron Swanson,"Okay, everyone."
Ron Swanson,Shut up and look at me!
Ron Swanson,"Welcome to ""Visions of Nature."
Ron Swanson,""" This room has several paintings in it."
Ron Swanson,Some are big.
Ron Swanson,Some are small.
Ron Swanson,"People did them, and they are here now."
Ron Swanson,"I believe that after this is over, they'll be hung in government buildings."
Ron Swanson,Why the government is involved in an art show is beyond me.
Ron Swanson,I also think it's pointless for a human to paint scenes of nature when they can just go outside and stand in it.
Ron Swanson,"Anyway, please do not misinterpret the fact that I am talking right now as genuine interest in art and attempt to discuss it with me further."
Ron Swanson,End of speech.
Andy Dwyer,And that's the TV room.
Ben Wyatt,"Oh, my God."
Andy Dwyer,"Yeah, it's a mess."
April Ludgate,Can you throw that in the trash can?
Ben Wyatt,"I was just here, like, three weeks ago for your wedding."
Ben Wyatt,What happened?
April Ludgate,"Well, Burly moved out."
April Ludgate,He was the one that did all the cleaning and throwing away and stuff.
Ben Wyatt,"Wait, he moved out, like, a week ago."
Ben Wyatt,You guys made this mess in a week?
Andy Dwyer,"Well, I always think April's going to clean up."
April Ludgate,And I never clean up.
Andy Dwyer,"It's cute, right?"
Ben Wyatt,No.
April Ludgate,"Yes, it is."
Ben Wyatt,Are you guys frying marbles?
Andy Dwyer,We were checking to see if the fire alarm worked.
April Ludgate,It doesn't.
Andy Dwyer,The biggest challenge to picking the perfect roommate is finding someone who's willing to pay more than their share of rent without knowing it.
April Ludgate,I think we found that in Ben.
Ron Swanson,"You forgot to paint a painting, son."
Jerry Gergich,"So, for my painting, I chose one of my very favorite Greek myths, the centaur goddess, Dyaphena, slaying a great stag."
Ann Perkins,It's stunning.
Tom Haverford,"It's breathtaking, Jerry."
Donna Meagle,Yeah.
Donna Meagle,It really is.
Jerry Gergich,Wow.
Jerry Gergich,"Thanks, guys."
Ann Perkins,"Hey, Leslie, you should really come over here and look at Jerry's painting."
Leslie Knope,"Oh, my God."
Leslie Knope,That's me.
Leslie Knope,Is that me?
Jerry Gergich,What?
Jerry Gergich,No.
Jerry Gergich,"Geez, it does look like you."
Leslie Knope,You're just realizing that now?
Tom Haverford,"That's what you see when you close your eyes at night, Jerry."
Tom Haverford,Topless Leslie glued to a horse.
Jerry Gergich,Okay.
Jerry Gergich,"Leslie, I am just so, so sorry."
Jerry Gergich,"Dyaphena, she is this powerful goddess, and I've been thinking a lot about powerful women, and subconsciously, I painted you."
Jerry Gergich,I'm sorry.
Jerry Gergich,I'm going to take it right down.
Leslie Knope,No.
Leslie Knope,Leave it up.
Leslie Knope,I love it.
Leslie Knope,I don't know how to explain it.
Leslie Knope,"Every time I look at it, I just think to myself, ""What can't that centaur woman do?"
Leslie Knope,"""Besides ride an escalator and drive a car."
Leslie Knope,""" Art can be so magnificent."
Ann Perkins,"Oh, my God."
Ann Perkins,The baby is Tom.
Tom Haverford,What?
Ann Perkins,This is easily my favorite painting ever.
Tom Haverford,"What the hell, Jerry?"
Tom Haverford,Look at my pot belly.
Tom Haverford,I look like a pregnant baby.
Tom Haverford,And why am I so scared?
Tom Haverford,"All right, we've got to take this down."
Tom Haverford,Now.
Leslie Knope,"No, this painting isn't going anywhere, Tom."
Leslie Knope,It's staying right here.
Leslie Knope,"Hello, fellow lover of the arts."
Leslie Knope,Welcome to the painting.
Extra,"What, is that you?"
Extra,"Well, it's hot."
Leslie Knope,Thank you.
Ann Perkins,"This guy's in it, too."
Ann Perkins,He's the little fat baby.
Extra,Cool.
Leslie Knope,Yeah.
Ann Perkins,What's going on right here?
Tom Haverford,Baby rolls!
Tom Haverford,We've been trying to get that light fixed for months.
Tom Haverford,Thank you.
Extra,Thank her.
Leslie Knope,"Good morning, Tom."
Extra,She marched into my office this morning and told me she wouldn't leave until I got this done.
Tom Haverford,Hmm.
Tom Haverford,"Well, I'm glad someone's feeling good."
Tom Haverford,They're going to hang that painting in a public building where anybody can see it.
Tom Haverford,"In one brush stroke, Jerry has killed the JayZ vibe that's taken me years to cultivate and replaced it with the fat, brown baby vibe, which is not as cool of a vibe."
Donna Meagle,"Hey, Aphrodite."
Donna Meagle,Chris needs you in his office.
Leslie Knope,Hmm.
Leslie Knope,"When you're done with the light, fix the printer."
Extra,I don't know how to fix printers.
Leslie Knope,Learn it.
Jerry Gergich,"Leslie, should I go, too?"
Leslie Knope,"This isn't about you, Jerry."
Jerry Gergich,It's my painting.
Marcia Langman,Why am I upset?
Marcia Langman,Let's start with governmentfunded animal porn.
Leslie Knope,I'm not sure that's fair.
Marcia Langman,"I want it destroyed, and I want a statement from this office apologizing for an obscene depiction of bestiality."
Leslie Knope,Bestiality?
Leslie Knope,"It is a picture of a centaur, a beautiful half person, half horse."
Marcia Langman,And how did it get like that?
Marcia Langman,Who had sex with what and gave birth to which?
Chris Traeger,"Ms. Langman, we hear you, we understand you and we are going to do whatever we can to come to a solution."
Marcia Langman,Destroy it.
Leslie Knope,Destroy it?
Leslie Knope,"I mean, is she serious?"
Leslie Knope,Do you find this personally offensive?
Chris Traeger,"Not personally, no."
Chris Traeger,"No, personally, I enjoy a good artistic depiction of the human form."
Chris Traeger,I've dabbled in nude sculpture.
Chris Traeger,I've posed nude.
Chris Traeger,"In college, I was in a nude production of Cats."
Chris Traeger,"But I am not in the nude now, am I?"
Chris Traeger,Because we're in a government building.
Chris Traeger,"And that would be inappropriate, which is what I think Marcia is saying."
Chris Traeger,"So, take care of this situation."
Leslie Knope,That painting is not going to be destroyed.
Leslie Knope,Every great work of art contains a message.
Leslie Knope,"And the message of this painting is, ""Get out of my way unless you want an arrow in your ass, Marcia."""
Andy Dwyer," Morning, roomie."
Andy Dwyer,How did you sleep?
Ben Wyatt,"Well, there were no bedbugs."
Ben Wyatt,"Also, no bed."
Ben Wyatt,I'm going to go buy a bed.
Andy Dwyer,Fork.
Ben Wyatt,I'm sorry.
Ben Wyatt,Are you eating turkey chili off of a frisbee?
Andy Dwyer,Yeah.
Andy Dwyer,"It's pretty cute, right?"
Ben Wyatt,No.
Andy Dwyer,"Do you know what ""cute"" means?"
April Ludgate,What have you got against turkey chili for breakfast?
Ben Wyatt,What have you guys got against washing dishes?
April Ludgate,"We don't have any dishes, okay?"
April Ludgate,Burly took them all when he left.
April Ludgate,"Now, I bet you feel like a jerk."
Ben Wyatt,God.
Ben Wyatt,"Okay, I might need to not stay here anymore."
Andy Dwyer,No.
Andy Dwyer,"Sorry, dude."
Andy Dwyer,We already spent your money on a new Xbox 360 and more frisbees to eat off of.
Andy Dwyer,You've got to stay.
Ben Wyatt,God.
Ben Wyatt,Okay.
Ben Wyatt,All right.
Ben Wyatt,Here's the deal.
Ben Wyatt,We're going to clean this place up.
Ben Wyatt,Okay?
Ben Wyatt,"And then, I am going to teach you how to be adults."
Andy Dwyer,Cool.
Andy Dwyer,We'll get to be adults.
April Ludgate,"Gee, golly."
April Ludgate,"Thanks, mister."
Andy Dwyer,Fork.
Perd Hapley,Hello.
Perd Hapley,"I'm Perd Hapley, and welcome to Ya' Heard?"
Perd Hapley,With Perd.
Perd Hapley,Today's show begins now.
Perd Hapley,Is this art or is it pornography?
Perd Hapley,"Here to answer this question is Parks and Recreation Deputy Director, Leslie Knope."
Leslie Knope,"Perd, it is a beautiful work of art."
Leslie Knope,"Governments should not be in the business of censorship, especially when a painting is as awesome as this one."
Perd Hapley,But this is where the controversy of this story gets even more controversial.
Perd Hapley,You are the subject of this painting.
Perd Hapley,"Half woman, half horse, with what some would say are human breasts."
Leslie Knope,I am not the subject.
Leslie Knope,The subject is strong and empowered women everywhere.
Leslie Knope,But it does look a little bit like me.
Perd Hapley,"Leslie, for our viewers at home who might not know, are centaurs real?"
Leslie Knope,No.
Perd Hapley,Absolutely sure?
Ben Wyatt,Okay.
Ben Wyatt,"So, you always separate your lights from your darks."
April Ludgate,That's racist.
Ben Wyatt,"And then, you get your laundry Where is your laundry detergent?"
Andy Dwyer,Right.
Andy Dwyer,Here we are.
Ben Wyatt,Okay.
Ben Wyatt,This is bubble bath.
Ben Wyatt,You guys You wash your clothes in bubble bath?
Andy Dwyer,"Bubble bath, clothes soap, same thing."
Ben Wyatt,"No, it's not."
Andy Dwyer,"Well, they both make bubbles, so"
Leslie Knope,It was never our intention to offend anyone I guess some people object to powerful depictions of awesome ladies.
Perd Hapley,Okay.
Perd Hapley,Also joining us today is a different person.
Perd Hapley,"Pornographic film actress, Brandi Maxxxx."
Brandi Maxxxx, Pleasure to be here.
Perd Hapley," Brandi, you've starred in over 200 adult films, some of which are very good."
Perd Hapley, When did you get into the business?
Brandi Maxxxx,Last year.
Perd Hapley, Fantastic.
Perd Hapley," Now, this painting right here, art or pornography?"
Brandi Maxxxx,"Perd, I think this whole debate is ridiculous."
Brandi Maxxxx, What Leslie and I do is obviously art.
Leslie Knope, Hang on.
Leslie Knope, There is a big difference between an oil painting of a Greek myth and a pornographic movie.
Brandi Maxxxx," It's okay, Leslie."
Brandi Maxxxx, I got this one.
Brandi Maxxxx, What? What Leslie and I want people to know is you should be able to have sex anywhere you want and show it anywhere you want.
Brandi Maxxxx," Whether it's girl-on-girl action, bondage, or Yep."
Brandi Maxxxx, what have you.
Leslie Knope, Okay.
Leslie Knope, Hang on.
Leslie Knope, Pornography is very difficult to define.
Leslie Knope," In fact, it was Justice Stewart who once said, ""I can't define pornography, but I know it when I see it."
Perd Hapley,""" Brandi, how would you define pornography?"
Brandi Maxxxx,"For me, it's when the penis goes in."
Ben Wyatt," All right, we need to do some basic organization."
Ben Wyatt, Where do you put your bills when they come?
April Ludgate, I read the magazines and give the rest to Andy.
Andy Dwyer, Which I organize into a pile or stack that I put into the freezer.
Ben Wyatt, Why?
Andy Dwyer,So they won't get lost.
Andy Dwyer, Bingo.
Ben Wyatt," Okay, you have to pay these."
Ben Wyatt, Good thing I didn't lose them.
Ben Wyatt, Okay.
Ben Wyatt, New lesson.
Ben Wyatt, Basic finance.
Ben Wyatt, I'm gonna teach you how to balance a checkbook.
Ben Wyatt, Okay.
Ben Wyatt, I am going to teach you how to open a bank account.
Andy Dwyer, Bank account.
Andy Dwyer, Good.
Tom Haverford," Brandi, I'm Thomas Haverford."
Tom Haverford, I just wanted to say I thought you made some excellent points up there.
Tom Haverford, I totally agree with you that people should be allowed to have sex in public places.
Brandi Maxxxx, You look familiar to me.
Tom Haverford, Maybe you've seen me down at the Snakehole Lounge.
Tom Haverford, I'm a part-owner there.
Brandi Maxxxx, That's you.
Brandi Maxxxx, In the painting.
Brandi Maxxxx, You're the fat baby.
Brandi Maxxxx, Aw! That's so cute.
Tom Haverford, Oh.
Tom Haverford, You're into that?
Brandi Maxxxx,No.
Tom Haverford," Damn it, Jerry."
Chris Traeger, Imagine my horror.
Chris Traeger, I'm hanging upside down with my gravity boots watching Perd.
Chris Traeger," I see you with your painting, and I am startled and disappointed."
Leslie Knope," Well, I did not know that Brandi was going to offer me a role in her next film."
Chris Traeger, I urge you not to take that role.
Leslie Knope, I am not going to take the role.
Chris Traeger," That's good to hear, because recently, you've been a little unpredictable."
Leslie Knope, I'm sorry that I'm trying to defend a beautiful work of art.
Jerry Gergich," Thank you, Leslie."
Leslie Knope," Stand down, Jerry."
Leslie Knope, This isn't your fight.
Chris Traeger, You've left me no choice.
Chris Traeger," I have convened a meeting of the Public Arts Commission, and we will abide by their decision."
Leslie Knope, Fine with me.
Leslie Knope, Public Arts Commission.
Leslie Knope, Filled with hippies who love art and sometimes weed.
Leslie Knope, Jackpot.
Chris Traeger,I would just like to introduce myself.
Chris Traeger,"My name is Chris Traeger, and I am a big fan of art."
Tom Haverford,"Council, I am not opposed to pornography."
Tom Haverford,"In fact, you could say I'm definitely for it."
Tom Haverford,"If I had my laptop right now, I would show you a well-hidden folder with gigabytes of proof."
Tom Haverford,"However, this thing is disgusting and wrong."
Extra,Please let the record reflect that the fat baby is referring to the painting.
Tom Haverford,"Hey, I am not a fat baby."
Tom Haverford,"I'm a small, slender man, similar to actor Taye Diggs."
Tom Haverford,So let the record reflect that.
Tom Haverford,That I look like Tay Diggs.
Leslie Knope,"Members of the Public Art Commission, good afternoon and good art."
Leslie Knope,Every great society has always supported artistic expression.
Leslie Knope,The Romans.
