Character,Line,Season,Episode
Tom Haverford,That was a trick question.,2,13
Tom Haverford,The answer's this one.,2,13
Brian,I didn't even know that one existed.,2,13
Tom Haverford,I had high hopes wen I saw your plum V neck.,2,13
Tom Haverford,But those hopes have been dashed. You can leave.,2,13
Chris,"You ever see that movie, The Matrix?",2,13
Leslie Knope,Yeah.,2,13
Chris,99% real.,2,13
Leslie Knope,"So, do you enjoy it, being an MRI technician?",2,13
Chris,Great question.,2,13
Chris,Someone steps into the room.,2,13
Chris,"Imagine a mother of three, maybe she's a teacher.",2,13
Chris,"She knows something's wrong, but she doesn't know what it is.",2,13
Chris,She's scared.,2,13
Chris,"In less than an hour, I know what it is.",2,13
Leslie Knope,What's wrong with her?,2,13
Chris,I don't know.,2,13
Chris,"But the best part about being an MRI technician is, I can see inside everything.",2,13
Chris,See that guy over there?,2,13
Chris,Imagine being able to look inside his head.,2,13
Leslie Knope,Wow.,2,13
Chris,I know.,2,13
Chris,"You could look inside this steak or you could look inside this butter or these potatoes, or this candle, or this beer, or this flower, or this bread.",2,13
Chris,You can look inside anything.,2,13
Leslie Knope,"Well, if you look inside this bread, all you're gonna find is more bread.",2,13
Chris,I don't know.,2,13
Chris,I'd have to do an MRI.,2,13
Leslie Knope,Look.,2,13
Leslie Knope,Thisâ¦ it's just bread in there.,2,13
Chris,"Yeah, but what's inside that bread? Could be cheese.",2,13
Leslie Knope,"Anyway, it's good that you found your calling.",2,13
Leslie Knope,"I mean, I've never even had an MRI before.",2,13
Chris,What?,2,13
Leslie Knope,I don't know about this.,2,13
Chris,"Well, I'm offering you a free scan.",2,13
Chris,"It usually costs up to 2,000 dollars.",2,13
Chris,I'm kind of spoiling you here.,2,13
Leslie Knope,"Well, I am a little curious.",2,13
Chris,Good.,2,13
Chris,"Frankly, I don't want to invest in someone who only has three months to live.",2,13
Leslie Knope,Oh.,2,13
Leslie Knope,"I'm just trying to think of this as an adventure, you know?",2,13
Leslie Knope,Maybe someday we'll tell our grandkids how weird our first date was and how creepy their grandfather was.,2,13
Chris,Try not to smile too much. It'll affect the diagnosis.,2,13
Leslie Knope,Well hopefully there'll be nothing to diagnose.,2,13
Chris,"Sometimes smiling is read as ""AIDS.""",2,13
Chris,"Oh, you're not on your period, are you?",2,13
Leslie Knope,No.,2,13
Leslie Knope,Does that matter?,2,13
Chris,"Well, not for this.",2,13
Chris,Okay.,2,13
Chris,It's gonna be a little crammed in there.,2,13
Chris,"Don't worry, I'll be right on the other side of that glass.",2,13
Tom Haverford,Scenario.,2,13
Tom Haverford,I meet a girl at a bar.,2,13
Tom Haverford,"She seems kind of into me, could go either way.",2,13
Tom Haverford,"I get her number, it's two days later, what do I text her?",2,13
Zack,"""It was nice meeting you.""",2,13
Tom Haverford,"No, Zack!",2,13
Tom Haverford,"I don't text her, ""It was nice meeting you.""",2,13
Tom Haverford,"I wait eight weeks and I text her, ""What's cracking?""",2,13
Tom Haverford,"Your resume's very impressive, but tell me about you.",2,13
Tom Haverford,Tell me about your friends.,2,13
Tom Haverford,Be as superficial as possible.,2,13
Tom Haverford,Just your basic assistant stuff.,2,13
Tom Haverford,"Taking messages, wakeup calls, Muscle Milk runs, condom runs, bottle service at the Snakehole Lounge, covering for me in any legally dicey situations.",2,13
Extra,Sorry.,2,13
Extra,What do I get out of this?,2,13
Tom Haverford,Connections.,2,13
Tom Haverford,"Plus 19 grand a year, minus my 10% headhunters' fee.",2,13
Extra,I have to pay you two grand if I get hired?,2,13
Tom Haverford,I have a job to offer.,2,13
Tom Haverford,"In the immortal words of Rod Blagojevich, ""It's a [bleep] valuable thing.""",2,13
Tom Haverford,"""You just don't give it away for nothing.""",2,13
Chris,"All right, Leslie. You're going to start hearing some loud noises and see some flashing lights.",2,13
Leslie Knope,Okay.,2,13
Chris,So you never told me where you're from.,2,13
Leslie Knope,I'm from Pawnee.,2,13
Chris,"Keep still, please.",2,13
Chris,"And you said that your mom works in government, too, is that right?",2,13
Leslie Knope,Yes she does.,2,13
Chris,"You gotta keep still. No talking, Leslie.",2,13
Chris,What kind of music do you like?,2,13
Leslie Knope,Can I answer that?,2,13
Chris,Sure.,2,13
Chris,Keep still.,2,13
Leslie Knope,All kinds.,2,13
Chris,"Very important that you keep still at this moment, Leslie.",2,13
Chris,I've told you that a thousand times.,2,13
Chris,Did you ever break your arm?,2,13
Chris,You can answer that.,2,13
Chris,"Here, I'll turn it off.",2,13
Leslie Knope,"One time I was on my bike and some boys were making fun of me, so I chased them and I lost control.",2,13
Leslie Knope,I'm surprised you can see that.,2,13
Leslie Knope,"It was, like, three years ago.",2,13
Chris,I can't believe I turned the machine off for that.,2,13
Chris,"You never had any kids, right, Leslie?",2,13
Leslie Knope,No.,2,13
Chris,You've got a great oven.,2,13
Leslie Knope,"Okay, time to go.",2,13
Chris,You got ample room in there.,2,13
Chris,"Honestly, if you wanted to, you could go triplets right off the bat, Leslie.",2,13
Chris,"You got a big, industrial-sized oven.",2,13
Leslie Knope,"So we're done, right?",2,13
Ann Perkins,Sorry.,2,13
Ann Perkins,Hey!,2,13
Ann Perkins,How's the date going?,2,13
Leslie Knope,Good!,2,13
Leslie Knope,We just finished the MRI.,2,13
Ann Perkins,What?,2,13
Leslie Knope,"Look, I know I said that I wanted to get back out there, but this guy is nuts.",2,13
Leslie Knope,"I don't mean to offend you, you know? I know he's your friend.",2,13
Ann Perkins,"No, I'm not offended at all. I don't know him that well.",2,13
Leslie Knope,Why would you think he'd be perfect for me then?,2,13
Ann Perkins,"Well, he seemed great.",2,13
Ann Perkins,"Sorry, Les.",2,13
Ann Perkins,"I'll find you somebody else, okay?",2,13
Ann Perkins,Just don't let this sour you on dating.,2,13
Ann Perkins,"Like, what you're doing is really healthy, so keep the faith, okay?",2,13
Leslie Knope,"Yeah, okay.",2,13
Chris,Hey!,2,13
Chris,No cell phones!,2,13
Chris,Don't touch that.,2,13
Leslie Knope,Sorry.,2,13
Chris,Just take your hands off it.,2,13
Mark Brendanawicz,What was that about?,2,13
Ann Perkins,I set Leslie up on a date.,2,13
Ann Perkins,I don't think it's going that well.,2,13
Mark Brendanawicz,"Oh, no.",2,13
Mark Brendanawicz,With Justin?,2,13
Ann Perkins,"Oh, no.",2,13
Ann Perkins,This guy I know from the hospital.,2,13
Mark Brendanawicz,Why wouldn't you set her up with Justin?,2,13
Ann Perkins,I don't really see them together.,2,13
Ann Perkins,You know?,2,13
Ann Perkins,"Plus, Leslie just got out of a relationship, so I didn't want Justin to be, like, her rebound guy or anything, you know?",2,13
Mark Brendanawicz,"Yeah, that makes sense.",2,13
Mark Brendanawicz,Leslie is a notoriously cruel and thoughtless person.,2,13
Ann Perkins,Why are we talking about this?,2,13
Mark Brendanawicz,We're not.,2,13
Leslie Knope,What do you see?,2,13
Chris,Well it actually all looks pretty good.,2,13
Chris,You've got a large brain.,2,13
Leslie Knope,Thank you.,2,13
Chris,Yeah.,2,13
Chris,"Well, it looks pretty... Hang on.",2,13
Chris,That's weird.,2,13
Leslie Knope,What?,2,13
Leslie Knope,What's weird?,2,13
Chris,Your brain.,2,13
Chris,See that shadow right there?,2,13
Chris,"Oh, my God!",2,13
Leslie Knope,What?,2,13
Leslie Knope,Is that bad?,2,13
Chris,I don't know.,2,13
Chris,I'd have a doctor look at that immediately if I were you.,2,13
Leslie Knope,Are you serious?,2,13
Chris,"Oh, wait.",2,13
Chris,Oh.,2,13
Chris,"It's, like, a smudge or something.",2,13
Chris,We almost wheeled you out of here on a chair.,2,13
Leslie Knope,Should we go?,2,13
Chris,"Yeah, we should go.",2,13
Chris,Can you imagine if you had to spend the rest of your life sipping a steak through a straw?,2,13
Chris,That almost happened to you. You were a smudge away.,2,13
Chris,Thank God I was here.,2,13
Chris,Looks like we make a pretty good team.,2,13
Mark Brendanawicz,"I'm sorry, but there's just something weird about the way you talk about him.",2,13
Ann Perkins,I don't know.,2,13
Ann Perkins,There was definitely times when we thought maybe we would go out someday.,2,13
Mark Brendanawicz,That's why you didn't set Leslie up.,2,13
Mark Brendanawicz,Because you're saving him.,2,13
Ann Perkins,"No, I'm not.",2,13
Mark Brendanawicz,"Oh, yeah, you are.",2,13
Ann Perkins,"Okay, fine.",2,13
Ann Perkins,"You don't have someone in your life that you think, ""I don't know, maybe if things were different, maybe, some day...""",2,13
Mark Brendanawicz,"If I'm late for dinner one night, you're gonna dump me for Dustin?",2,13
Ann Perkins,"No, no. Justin.",2,13
Mark Brendanawicz,Justin?,2,13
Ann Perkins,"Absolutely not, but if we break up or you die tragically in a city planning accident and I wait a respectful amount of time, I don't know. Maybeâ¦",2,13
Mark Brendanawicz,You know what?,2,13
Mark Brendanawicz,You can't save somebody for the future while you're in a relationship.,2,13
Mark Brendanawicz,Even I know that.,2,13
Chris,"So, did you want to go back to your place?",2,13
Leslie Knope,"Yeah, actually, Chris, it was nice to meet you, but I think this is gonna be our last date.",2,13
Chris,I get it.,2,13
Chris,"Get your MRI and get out, huh?",2,13
Leslie Knope,This was your idea.,2,13
Chris,Clever lady.,2,13
Chris,I guess I'm not as good a tech as I thought I was.,2,13
Chris,I should have noticed that you're missing a heart.,2,13
Leslie Knope,Ew.,2,13
Chris,"Goodbye, Leslie.",2,13
Leslie Knope,Right.,2,13
Leslie Knope,I drove us here.,2,13
Leslie Knope,Goodie.,2,13
Chris,"Hey, do you mind if we pick up my son Nate at his basketball game on the way back?",2,13
Tom Haverford,"So, how was the big date?",2,13
Leslie Knope,"Well, the good news is I don't have cancer.",2,13
Leslie Knope,The bad news is I got an MRI bill for 2000 dollars.,2,13
Tom Haverford,That sounds hot.,2,13
Leslie Knope,I just don't understand why the hell Ann thought we'd be a good fit.,2,13
Tom Haverford,"Oh, you slept together?",2,13
Leslie Knope,"What? Not sexually. God, what's wrong with you, Tom?",2,13
Justin,This a bad time?,2,13
Leslie Knope,"No, come on in.",2,13
Tom Haverford,Justin!,2,13
Justin,"What's up, brother?",2,13
Leslie Knope,Should weâ¦?,2,13
Justin,"Yeah, let's do.",2,13
Tom Haverford,See you dude.,2,13
Justin,"See you around, brother.",2,13
Tom Haverford,Dope pea coat.,2,13
Tom Haverford,I have the same one in an extra small.,2,13
Mark Brendanawicz,"Andy, can I talk to you for a second?",2,13
Andy Dwyer,"Well, well, well. Look who's bothering who now?",2,13
Andy Dwyer,Seems like the shot is on the other foot.,2,13
Andy Dwyer,And the guuy who polishes shoes is now me.,2,13
Andy Dwyer,What up? What can I do for ya?,2,13
Mark Brendanawicz,"When you were dating Ann, did you know this guy Justin?",2,13
Andy Dwyer,"Oh, Justin?",2,13
Andy Dwyer,I hate Justin.,2,13
Andy Dwyer,Ann was so obviously into him.,2,13
Andy Dwyer,It was so annoying.,2,13
Mark Brendanawicz,Right.,2,13
Andy Dwyer,"I would say, in terms of guys that she's in love with, Justin's up here, I'm up here, and then you're down here.",2,13
Mark Brendanawicz,"Well, I just wanted to make sure that I wasn't crazy, so, naturally, I came to you for reassurance.",2,13
Mark Brendanawicz,Do me a favor.,2,13
Mark Brendanawicz,Don't tell Ann that we talked about this.,2,13
Andy Dwyer,Will do.,2,13
Andy Dwyer,Ann Perkins! You should be ashamed of yourself.,2,13
Andy Dwyer,What you're doing to Mark is not cool.,2,13
Ann Perkins,Why are you guys talking to each other? You know what? Forget it.,2,13
Ann Perkins,I'm not getting into this with you.,2,13
April Ludgate,You did something wrong?,2,13
Ann Perkins,No! I didn't do anything wrong.,2,13
Andy Dwyer,Yeah.,2,13
Ann Perkins,Come here.,2,13
Ann Perkins,This is none of your business.,2,13
Ann Perkins,You don't know what you're talking about.,2,13
Andy Dwyer,"Actually, I do know what I'm talking about.",2,13
Andy Dwyer,"Every time I used to sit around all afternoon playing video games wearing only my slippers, all of a sudden, I would start to feel bad about myself, and do you know why?",2,13
Ann Perkins,Didn't you just explain why?,2,13
Andy Dwyer,I would feel bad about myself because I would start to think about this perfect guy.,2,13
Andy Dwyer,"Anytime you would talk about Justin, I didn't feel very important.",2,13
Andy Dwyer,That was rough.,2,13
Ann Perkins,"Well, I didn't know that.",2,13
Andy Dwyer,"Maybe if you had, I wouldn't have left.",2,13
Andy Dwyer,"But you do know now, so you have to choose.",2,13
Andy Dwyer,It's either me or Justin.,2,13
Ann Perkins,I'm not gonna choose.,2,13
Ann Perkins,Wait.,2,13
Ann Perkins,I'm dating Mark!,2,13
Andy Dwyer,"Are you, though?",2,13
Ann Perkins,Yes!,2,13
Andy Dwyer,Ah! That close.,2,13
Leslie Knope,Wow!,2,13
Leslie Knope,This is really good.,2,13
Leslie Knope,"""Cease and desist.""",2,13
Leslie Knope,"""Burden of proof.""",2,13
Leslie Knope,Very forceful language. I'm a little scared.,2,13
Justin,Check out paragraph two.,2,13
Justin,I drop the F bomb.,2,13
Leslie Knope,"""Frivolous.""",2,13
Leslie Knope,Excellent.,2,13
Justin,"Definitely have the city attorney look at that, but that should be enough to do the trick.",2,13
Leslie Knope,"Well, Justin, I just... I can't thank you enough.",2,13
Justin,It's my pleasure.,2,13
Justin,Maybe I'll see you around sometime.,2,13
Leslie Knope,Yeah!,2,13
Leslie Knope,I would love... Mmmhmm.,2,13
Justin,I'll see you.,2,13
Leslie Knope,Okay.,2,13
Leslie Knope,Bye.,2,13
Justin,Bye.,2,13
Donna Meagle,Damn!,2,13
Donna Meagle,He is all right.,2,13
Donna Meagle,Why don't you hit that?,2,13
Leslie Knope,"Well, frankly, I would like to hit that, but Ann's being a little weird about it.",2,13
Donna Meagle,Maybe she's got him on hold.,2,13
Leslie Knope,What do you mean?,2,13
Tom Haverford,"Ronald, I've done it.",2,13
Tom Haverford,"I've found your assistant, and he's dope.",2,13
Tom Haverford,His name is Jean-Ralphio.,2,13
Tom Haverford,Jean-Ralphio!,2,13
Jean-Ralphio Saperstein,Big T.,2,13
Tom Haverford,What up?,2,13
Jean-Ralphio Saperstein,"Mr. Swanson, two things.",2,13
Jean-Ralphio Saperstein,"One, it is an absolute honor to meet you.",2,13
Jean-Ralphio Saperstein,"Two, who is that hot intern chick out there? Because honestly, damn!",2,13
Ron Swanson,Take a seat.,2,13
Jean-Ralphio Saperstein,Right.,2,13
Jean-Ralphio Saperstein,Here we go.,2,13
Ron Swanson,"So, Jean-Ralphioâ¦",2,13
Jean-Ralphio Saperstein,You got him right here.,2,13
Jean-Ralphio Saperstein,Leave a message after the beep.,2,13
Ron Swanson,Why do I want you as my assistant?,2,13
Jean-Ralphio Saperstein,"For starters, access to the illest clubs.",2,13
Jean-Ralphio Saperstein,And that's just for starters.,2,13
Jean-Ralphio Saperstein,I will work for you.,2,13
Jean-Ralphio Saperstein,I'll be on you 24/ 7.,2,13
Jean-Ralphio Saperstein,I'll be like your family.,2,13
Jean-Ralphio Saperstein,I'm here when you get here in the morning.,2,13
Jean-Ralphio Saperstein,"Sure enough, I'll be there tucking you into bed at night.",2,13
Jean-Ralphio Saperstein,"Don't worry, it's not gay.",2,13
Jean-Ralphio Saperstein,Do we have questions?,2,13
Tom Haverford,"I think our only question is, when can you start?",2,13
Jean-Ralphio Saperstein,"Right now, let's do it!",2,13
Ron Swanson,Thank you for coming in.,2,13
Ron Swanson,We will talk.,2,13
Jean-Ralphio Saperstein,Cool.,2,13
Jean-Ralphio Saperstein,I feel good about this.,2,13
Jean-Ralphio Saperstein,"And, you know, you can hit me up on Facebook anytime, day or night.",2,13
Jean-Ralphio Saperstein,"You know that, right?",2,13
Tom Haverford,"Take care, buddy.",2,13
Jean-Ralphio Saperstein,Boom.,2,13
Tom Haverford,So what do you think of your new assistant?,2,13
Ron Swanson,I want to punch you in the face so bad right now.,2,13
Tom Haverford,What?,2,13
Tom Haverford,Okay.,2,13
Tom Haverford,Message received.,2,13
Tom Haverford,I'll keep looking.,2,13
Ron Swanson,Thank you.,2,13
Ron Swanson,Bring me the opposite of him.,2,13
April Ludgate,Tell me what Ann did wrong. Please. I need to know.,2,13
Andy Dwyer,"Nothing, it's none of my business.",2,13
Extra,What kind of music is this?,2,13
Andy Dwyer,"It's rock and roll, my friend.",2,13
Andy Dwyer,The kind that sticks in your brain.,2,13
Andy Dwyer,"Loud, fast, smooth, handsome rock.",2,13
April Ludgate,That band is really blowing up right now.,2,13
April Ludgate,They're number one on iTunes.,2,13
Extra,Okay.,2,13
Extra,I'll take one.,2,13
Andy Dwyer,You are amazing! I like when you hang out here.,2,13
April Ludgate,I want to be your assistant.,2,13
Ron Swanson,Really? You hate it here.,2,13
April Ludgate,So do you.,2,13
April Ludgate,I'll make sure you don't have to go to any meetings.,2,13
April Ludgate,"If anyone comes to see you, I'll scare them away.",2,13
Tom Haverford,"Wait, April, if you had to choose between these two ties--",2,13
Ron Swanson,You're hired.,2,13
April Ludgate,I just figured I might as well get paid for being here.,2,13
Ann Perkins,Hi.,2,13
Leslie Knope,Hey! I was just calling you.,2,13
Ann Perkins,Here.,2,13
Leslie Knope,This is a prescription for Denise Dogan.,2,13
Ann Perkins,"Oh, my God, I'm sorry.",2,13
Ann Perkins,I'm so out of sorts.,2,13
Ann Perkins,Here.,2,13
Leslie Knope,Porter's Grill at 7:00.,2,13
Ann Perkins,Justin's gonna meet you there.,2,13
Ann Perkins,I'm sorry Chris was such a jerk.,2,13
Ann Perkins,You deserve way better than that.,2,13
Leslie Knope,If this situation is weird or if you feel weird--,2,13
Ann Perkins,It's not weird.,2,13
Ann Perkins,You guys will really like each other.,2,13
Leslie Knope,Thanks.,2,13
Ann Perkins,I gotta run.,2,13
Ann Perkins,I have another stop on the pride swallowing tour of City Hall.,2,13
Leslie Knope,Go get him.,2,13
Mark Brendanawicz,That's where I never find things.,2,13
Ann Perkins,Hey.,2,13
Mark Brendanawicz,"Hi, Ann.",2,13
Ann Perkins,"So, I just set up Justin and Leslie.",2,13
Ann Perkins,And I'm sorry.,2,13
Ann Perkins,"I rented District 9, if you maybe wanted to spoil that for me tonight.",2,13
Ann Perkins,"Oh, my God!",2,13
Mark Brendanawicz,"Dark ending, right?",2,13
Leslie Knope,"I'm back on the horse, and this horse is a lawyer, so I'm looking forward to riding him.",2,13
Leslie Knope,"No, wait.",2,13
Leslie Knope,"Ten months ago, she was an intern who could give a C- R- A- P about local government.",2,13
Leslie Knope,"Now, she's our newest employee.",2,13
Leslie Knope,To April!,2,13
All,Cheers! Cheers!,2,13
April Ludgate,Yay!,2,13
Leslie Knope,"Jerry, come and celebrate!",2,13
Jerry Gergich,"No, thanks.",2,13
Leslie Knope,"Well, everybody, let's get back to work.",2,13
April Ludgate,Where are you going?,2,13
Jerry Gergich,I want to talk to Ron about the size of my desk.,2,13
April Ludgate,"Jerry, you have to schedule an appointment.",2,13
Jerry Gergich,Okay.,2,13
Jerry Gergich,How about now?,2,13
April Ludgate,Ron's not here.,2,13
Jerry Gergich,He's right there.,2,13
Jerry Gergich,I can see him.,2,13
April Ludgate,I'll let you know when he's available.,2,13
Ron Swanson,Attagirl.,2,13
,,2,13
,,2,13
,Season: 2 Episode: 14,2,14
Leslie Knope,"And it's because of you, our teachers, that every one of these recreation classes in this catalog shines like a jewel in Pawnee's beautiful crown.",2,14
Leslie Knope,"Unfortunately, due to budget constraints, this year we will have to remove five jewels from that crown.",2,14
Tania,Excuse me?,2,14
Tania,Are you cutting our classes?,2,14
Leslie Knope,Yeah.,2,14
Leslie Knope,"The city took away 1,000 dollars from our budget.",2,14
Leslie Knope,"So, I'm very sorry.",2,14
Extra,How will you decide which classes to cut?,2,14
Leslie Knope,By attendance and student evaluations.,2,14
Leslie Knope,"So, just make sure your students leave with a smile.",2,14
Extra,"My class is called ""Coping with Terminal Illness.""",2,14
Leslie Knope,Hopefully your attendance is good!,2,14
Leslie Knope,"Actually, no, hopefully it's bad.",2,14
Leslie Knope,Nobody's more upset about this than me.,2,14
Leslie Knope,I've been taking these rec center classes since I was in high school.,2,14
Leslie Knope,"It's where I learned hair braiding, and how to make biscuits, and French kissing.",2,14
Leslie Knope,"The French kissing was just from a boy in my biscuits class, but either way, lesson learned.",2,14
Justin,"Oh, my God!",2,14
Justin,You have never been to Carnival?,2,14
Leslie Knope,I want to go!,2,14
Justin,"We have to get tickets in February to go to Rio de Janeiro, Leslie Knope.",2,14
Leslie Knope,Okay.,2,14
Leslie Knope,I am on a date with Justin in Indianapolis.,2,14
Leslie Knope,"We've only been out a few times, but every one of them has been amazing.",2,14
Justin,Cheers.,2,14
Leslie Knope,"Last time, we had a private tour and cocktails at the Indianapolis Aquarium.",2,14
Leslie Knope,That fish over there kind of reminds me of my mom.,2,14
Justin,Why?,2,14
Leslie Knope,It's just being really withholding.,2,14
Leslie Knope,Justin is definitely the most interesting guy I've ever dated.,2,14
Justin,All I did was a little paperwork.,2,14
Chef,"He's being modest, it is thanks to him my family remains in this country.",2,14
Chef,And it was all pro bono.,2,14
Leslie Knope,"Oh, Justin.",2,14
Justin,You've got to try this.,2,14
Leslie Knope,"Oh, that's really good!",2,14
Justin,Isn't it great?,2,14
Justin,It's camel stomach.,2,14
Leslie Knope,Is it?,2,14
Justin,"I'm teasing, I'm teasing.",2,14
Justin,It's chicken.,2,14
Chef,Would you like to try the camel stomach?,2,14
Leslie Knope,No.,2,14
Leslie Knope,This is me.,2,14
Justin,"So, when am I gonna see you again?",2,14
Justin,Oh!,2,14
Justin,"You know what, I'm gonna be near Pawnee on Tuesday.",2,14
Leslie Knope,"Excellent, yeah.",2,14
Leslie Knope,I'll plan something exciting.,2,14
Leslie Knope,"In fact, our date in Pawnee is gonna blow Indianapolis out of the water.",2,14
Justin,All right.,2,14
Justin,I'm gonna hold you to that.,2,14
Leslie Knope,Good!,2,14
Leslie Knope,You better.,2,14
Justin,I will!,2,14
Leslie Knope,I've racked my brain and I can't come up with one exciting idea.,2,14
Leslie Knope,"I mean, he once ate fried cockatoo with a member of the Thai Royal Family.",2,14
Ann Perkins,"Well, maybe just have him over and cook him some chicken and tell him it's Pawnee cockatoo.",2,14
Leslie Knope,A dinner party!,2,14
Leslie Knope,That's genius.,2,14
Leslie Knope,"I'll invite all my most interesting friends over, we'll have this big rambling party.",2,14
Ann Perkins,"No, I actually meant more like a one-on-one thing.",2,14
Leslie Knope,"I know what you meant, but I took your idea and I made it better.",2,14
Leslie Knope,"It's called a think tank, Ann.",2,14
Ann Perkins,What is?,2,14
Leslie Knope,Our lunches.,2,14
Leslie Knope,Our lunches are like think tanks.,2,14
Leslie Knope,"Okay, I want you to come over to my house at 2:00 and help me get ready.",2,14
Leslie Knope,And make sure that Mark is coming.,2,14
Leslie Knope,So much work to do!,2,14
Leslie Knope,You're my best friend.,2,14
Leslie Knope,"Now, get out of here!",2,14
Ron Swanson,How many courses will there be?,2,14
Leslie Knope,Three.,2,14
Ron Swanson,Hmmâ¦,2,14
Leslie Knope,Four.,2,14
Leslie Knope,Not including dessert.,2,14
Ron Swanson,"So, five courses.",2,14
Leslie Knope,Yes.,2,14
Leslie Knope,"Now, it will be five courses.",2,14
Ron Swanson,"If I wanted to bring a large number of deviled eggs, but I didn't want to share them with anyone else, can you guarantee fridge space?",2,14
Leslie Knope,Just be there at 8:00.,2,14
Leslie Knope,"Oh, hey, Tom!",2,14
Leslie Knope,I'm having an A list dinner party for Justin.,2,14
Leslie Knope,"And you, out of all my friends, come from the most distant and exotic land.",2,14
Tom Haverford,South Carolina?,2,14
Leslie Knope,Save it for the party.,2,14
Leslie Knope,Can you make it?,2,14
Tom Haverford,For Justin?,2,14
Tom Haverford,Are you kidding?,2,14
Tom Haverford,I'm there.,2,14
Tom Haverford,Just don't invite any boring people like Jerry.,2,14
Jerry Gergich,What are you guys talking about?,2,14
Leslie Knope,Nothing.,2,14
Tom Haverford,Don't worry about it.,2,14
Leslie Knope,What?,2,14
Andy Dwyer,Leslie.,2,14
Andy Dwyer,Hey!,2,14
Leslie Knope,Hey!,2,14
Andy Dwyer,Check it out.,2,14
Andy Dwyer,Just practicing.,2,14
Leslie Knope,Isn't that polish gonna get on people's butts when they sit down?,2,14
Andy Dwyer,No.,2,14
Leslie Knope,"Okay, listen.",2,14
Leslie Knope,I'm having a partyâ¦,2,14
Andy Dwyer,Mmmhmm.,2,14
Leslie Knope,And I thought maybe you could help me with serving and taking people's coats.,2,14
Leslie Knope,"I'd pay you, like, 10 bucks an hour.",2,14
Andy Dwyer,My guardian angel!,2,14
Andy Dwyer,I would love to!,2,14
Andy Dwyer,Who's going to be there?,2,14
Leslie Knope,Really fun people.,2,14
Leslie Knope,"Ron, Tom, Mark and Ann.",2,14
Andy Dwyer,That's great.,2,14
Andy Dwyer,What's the occasion?,2,14
Leslie Knope,Justin is coming into town.,2,14
Andy Dwyer,"Hey, it's me, Justin.",2,14
Andy Dwyer,Take my coat.,2,14
Andy Dwyer,"But please, be careful.",2,14
Andy Dwyer,I got it from the king of Africa when we were walking on the Berlin Wall together.,2,14
Andy Dwyer,"Really, Justin?",2,14
Andy Dwyer,What instruments do you play?,2,14
Andy Dwyer,"Actually, he's a pretty sick keyboardist.",2,14
Andy Dwyer,Good.,2,14
Andy Dwyer,I'm good to go.,2,14
Andy Dwyer,That sounds great.,2,14
Leslie Knope,Great.,2,14
Leslie Knope,All right.,2,14
Andy Dwyer,I'll see you there.,2,14
Kyle,"Afternoon, Andy.",2,14
Andy Dwyer,"Hi, Kyle.",2,14
Andy Dwyer,"You know, right before you sat down, I noticed, did you have some kind of stain on your ass, or something?",2,14
Andy Dwyer,What was that?,2,14
Kyle,What?,2,14
Andy Dwyer,"No, no, no.",2,14
Andy Dwyer,You're good.,2,14
Leslie Knope,"Hey, Ann.",2,14
Ann Perkins,Hey!,2,14
Leslie Knope,"Welcome to my house, for the very first time.",2,14
Ann Perkins,I know!,2,14
Ann Perkins,I can't believe you've never had me over.,2,14
Ann Perkins,"Now, I can believe it.",2,14
Leslie Knope,"I know, I know.",2,14
Leslie Knope,It's a little messy.,2,14
Leslie Knope,But I have a system.,2,14
Leslie Knope,"So, I just need you to help me put the finishing touches on everything.",2,14
Ann Perkins,"This newspaper's from November, 1986.",2,14
Leslie Knope,"Oh, the first rumblings of Iran Contra!",2,14
Leslie Knope,Don't throw that out!,2,14
Ann Perkins,I think I need to call Child Services and have Leslie taken away from herself.,2,14
Ann Perkins,"Leslie, don't take this the wrong way, but your house is like a crazy person's garage.",2,14
Ann Perkins,What do you need this birdhouse for?,2,14
Ann Perkins,Can we get rid of it?,2,14
Leslie Knope,I might need it.,2,14
Ann Perkins,What about this one?,2,14
Leslie Knope,"Well, if two birds come along?",2,14
Ann Perkins,Leslie.,2,14
Leslie Knope,"Andy's gonna come over soon, he can help us with all this stuff.",2,14
Ann Perkins,Andy?,2,14
Ann Perkins,No.,2,14
Ann Perkins,"No, no, no.",2,14
Ann Perkins,You need a team of professionals to help.,2,14
Leslie Knope,I have an idea.,2,14
Leslie Knope,"Hi, is this Maria Portlesman from ""Organize Your Life, with Maria Portlesman""?",2,14
Tom Haverford,"April, come here.",2,14
April Ludgate,What?,2,14
Tom Haverford,Shake my hand.,2,14
April Ludgate,Why?,2,14
Tom Haverford,I can't tell if I've exfoliated too much.,2,14
Tom Haverford,I don't want to creep Justin out.,2,14
Tom Haverford,I want him to respect my handshake.,2,14
April Ludgate,Why do you care about him?,2,14
Tom Haverford,Justin is hip.,2,14
Tom Haverford,Pawnee is the opposite of hip.,2,14
Tom Haverford,People in this town are just now getting into Nirvana.,2,14
Tom Haverford,I don't have the heart to tell them what's going to happen to Kurt Cobain in 1994.,2,14
Tom Haverford,"Hey, Justin.",2,14
April Ludgate,Ew!,2,14
April Ludgate,It's like touching raw chicken.,2,14
Tom Haverford,Damn it.,2,14
Tom Haverford,Gonna have to refoliate them.,2,14
Maria Portlesman,"I'll need some help moving the boxes, but it's doable.",2,14
Leslie Knope,"Oh, thank God.",2,14
Leslie Knope,How much do I owe you?,2,14
Maria Portlesman,Please.,2,14
